Award Title,Movie Title,Nominee Name(s),Won,Year
Actor in a Leading Role,The Brutalist,Adrien Brody,1,2025
Actor in a Leading Role,A Complete Unknown,Timothée Chalamet,0,2025
Actor in a Leading Role,Sing Sing,Colman Domingo,0,2025
Actor in a Leading Role,Conclave,Ralph Fiennes,0,2025
Actor in a Leading Role,The Apprentice,Sebastian Stan,0,2025
Actor in a Supporting Role,A Real Pain,Kieran Culkin,1,2025
Actor in a Supporting Role,Anora,Yura Borisov,0,2025
Actor in a Supporting Role,A Complete Unknown,Edward Norton,0,2025
Actor in a Supporting Role,The Brutalist,Guy Pearce,0,2025
Actor in a Supporting Role,The Apprentice,Jeremy Strong,0,2025
Actress in a Leading Role,Anora,Mikey Madison,1,2025
Actress in a Leading Role,Wicked,Cynthia Erivo,0,2025
Actress in a Leading Role,Emilia Pérez,Karla Sofía Gascón,0,2025
Actress in a Leading Role,The Substance,Demi Moore,0,2025
Actress in a Leading Role,I'm Still Here,Fernanda Torres,0,2025
Actress in a Supporting Role,Emilia Pérez,Zoe Saldaña,1,2025
Actress in a Supporting Role,A Complete Unknown,Monica Barbaro,0,2025
Actress in a Supporting Role,Wicked,Ariana Grande,0,2025
Actress in a Supporting Role,The Brutalist,Felicity Jones,0,2025
Actress in a Supporting Role,Conclave,Isabella Rossellini,0,2025
Animated Feature Film,Flow,"Gints Zilbalodis, Matīss Kaža, Ron Dyens and Gregory Zalcman",1,2025
Animated Feature Film,Inside Out 2,Kelsey Mann and Mark Nielsen,0,2025
Animated Feature Film,Memoir of a Snail,Adam Elliot and Liz Kearney,0,2025
Animated Feature Film,Wallace & Gromit: Vengeance Most Fowl,"Nick Park, Merlin Crossingham, and Richard Beek",0,2025
Animated Feature Film,The Wild Robot,Chris Sanders and Jeff Hermann,0,2025
Animated Short Film,In the Shadow of the Cypress,Shirin Sohani and Hossein Molayemi,1,2025
Animated Short Film,Beautiful Men,Nicolas Keppens and Brecht Van Elslande,0,2025
Animated Short Film,Magic Candies,Daisuke Nishio and Takashi Washio,0,2025
Animated Short Film,Wander to Wonder,Nina Gantz and Stienette Bosklopper,0,2025
Animated Short Film,Yuck!,Loïc Espuche and Juliette Marquet,0,2025
Cinematography,The Brutalist,Lol Crawley,1,2025
Cinematography,Dune: Part Two,Greig Fraser,0,2025
Cinematography,Emilia Pérez,Paul Guilhaume,0,2025
Cinematography,Maria,Ed Lachman,0,2025
Cinematography,Nosferatu,Jarin Blaschke,0,2025
Costume Design,Wicked,Paul Tazewell,1,2025
Costume Design,A Complete Unknown,Arianne Phillips,0,2025
Costume Design,Conclave,Lisy Christl,0,2025
Costume Design,Gladiator II,Janty Yates and Dave Crossman,0,2025
Costume Design,Nosferatu,Linda Muir,0,2025
Directing,Anora,Sean Baker,1,2025
Directing,The Brutalist,Brady Corbet,0,2025
Directing,A Complete Unknown,James Mangold,0,2025
Directing,Emilia Pérez,Jacques Audiard,0,2025
Directing,The Substance,Coralie Fargeat,0,2025
Documentary Feature Film,No Other Land,"Basel Adra, Rachel Szor, Hamdan Ballal and Yuval Abraham",1,2025
Documentary Feature Film,Black Box Diaries,"Shiori Ito, Eric Nyari and Hanna Aqvilin",0,2025
Documentary Feature Film,Porcelain War,"Brendan Bellomo, Slava Leontyev, Aniela Sidorska and Paula DuPre' Pesmen",0,2025
Documentary Feature Film,Soundtrack to a Coup d'Etat,"Johan Grimonprez, Daan Milius and Rémi Grellety",0,2025
Documentary Feature Film,Sugarcane,"Julian Brave NoiseCat, Emily Kassie and Kellen Quinn",0,2025
Documentary Short Film,The Only Girl in the Orchestra,Molly O’Brien and Lisa Remington,1,2025
Documentary Short Film,Death by Numbers,Kim A. Snyder and Janique L. Robillard,0,2025
