Award Title,film_name,Nominee Name(s),Won,Year,url
Actor in a Leading Role,Manchester by the Sea,Casey Affleck,1,2017,https://letterboxd.com/film/manchester-by-the-sea/
Actor in a Leading Role,Hacksaw Ridge,Andrew Garfield,0,2017,https://letterboxd.com/film/hacksaw-ridge/
Actor in a Leading Role,La La Land,Ryan Gosling,0,2017,https://letterboxd.com/film/la-la-land/
Actor in a Leading Role,Captain Fantastic,Viggo Mortensen,0,2017,https://letterboxd.com/film/captain-fantastic/
Actor in a Leading Role,Fences,Denzel Washington,0,2017,https://letterboxd.com/film/fences-2016/
Actor in a Supporting Role,Moonlight,Mahershala Ali,1,2017,https://letterboxd.com/film/moonlight-2016/
Actor in a Supporting Role,Hell or High Water,Jeff Bridges,0,2017,https://letterboxd.com/film/hell-or-high-water/
Actor in a Supporting Role,Manchester by the Sea,Lucas Hedges,0,2017,https://letterboxd.com/film/manchester-by-the-sea/
Actor in a Supporting Role,Lion,Dev Patel,0,2017,https://letterboxd.com/film/lion/
Actor in a Supporting Role,Nocturnal Animals,Michael Shannon,0,2017,https://letterboxd.com/film/nocturnal-animals/
Actress in a Leading Role,La La Land,Emma Stone,1,2017,https://letterboxd.com/film/la-la-land/
Actress in a Leading Role,Elle,Isabelle Huppert,0,2017,https://letterboxd.com/film/elle/
Actress in a Leading Role,Loving,Ruth Negga,0,2017,https://letterboxd.com/film/loving-2016/
Actress in a Leading Role,Jackie,Natalie Portman,0,2017,https://letterboxd.com/film/jackie-2016/
Actress in a Leading Role,Florence Foster Jenkins,Meryl Streep,0,2017,https://letterboxd.com/film/florence-foster-jenkins/
Actress in a Supporting Role,Fences,Viola Davis,1,2017,https://letterboxd.com/film/fences-2016/
Actress in a Supporting Role,Moonlight,Naomie Harris,0,2017,https://letterboxd.com/film/moonlight-2016/
Actress in a Supporting Role,Lion,Nicole Kidman,0,2017,https://letterboxd.com/film/lion/
Actress in a Supporting Role,Hidden Figures,Octavia Spencer,0,2017,https://letterboxd.com/film/hidden-figures/
Actress in a Supporting Role,Manchester by the Sea,Michelle Williams,0,2017,https://letterboxd.com/film/manchester-by-the-sea/
Animated Feature Film,Zootopia,"Byron Howard, Rich Moore and Clark Spencer",1,2017,https://letterboxd.com/film/zootopia/
Animated Feature Film,Kubo and the Two Strings,Travis Knight and Arianne Sutner,0,2017,https://letterboxd.com/film/kubo-and-the-two-strings/
Animated Feature Film,Moana,"John Musker, Ron Clements and Osnat Shurer",0,2017,https://letterboxd.com/film/moana-2016/
Animated Feature Film,My Life as a Zucchini,Claude Barras and Max Karli,0,2017,https://letterboxd.com/film/my-life-as-a-zucchini/
Animated Feature Film,The Red Turtle,Michael Dudok de Wit and Toshio Suzuki,0,2017,https://letterboxd.com/film/the-red-turtle/
Cinematography,La La Land,Linus Sandgren,1,2017,https://letterboxd.com/film/la-la-land/
Cinematography,Arrival,Bradford Young,0,2017,https://letterboxd.com/film/arrival-2016/
Cinematography,Lion,Greig Fraser,0,2017,https://letterboxd.com/film/lion/
Cinematography,Moonlight,James Laxton,0,2017,https://letterboxd.com/film/moonlight-2016/
Cinematography,Silence,Rodrigo Prieto,0,2017,https://letterboxd.com/film/silence/
Costume Design,Fantastic Beasts and Where to Find Them,Colleen Atwood,1,2017,https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/
Costume Design,Allied,Joanna Johnston,0,2017,https://letterboxd.com/film/allied/
Costume Design,Florence Foster Jenkins,Consolata Boyle,0,2017,https://letterboxd.com/film/florence-foster-jenkins/
